姓名,类型1,类型2,总计,生命值,攻击力,防御力,速度,时代
Serperior,Grass,,528,75,75,95,113,5
Tepig,Fire,,308,65,63,45,45,5
Pignite,Fire,Fighting,418,90,93,55,55,5
Emboar,Fire,Fighting,528,110,123,65,65,5
Oshawott,Water,,308,55,55,45,45,5
Dewott,Water,,413,75,75,60,60,5
Samurott,Water,,528,95,100,85,70,5
Patrat,Normal,,255,45,55,39,42,5
Watchog,Normal,,420,60,85,69,77,5
Lillipup,Normal,,275,45,60,45,55,5
Herdier,Normal,,370,65,80,65,60,5
Stoutland,Normal,,500,85,110,90,80,5
Purrloin,Dark,,281,41,50,37,66,5
Liepard,Dark,,446,64,88,50,106,5
Pansage,Grass,,316,50,53,48,64,5
Simisage,Grass,,498,75,98,63,101,5
Pansear,Fire,,316,50,53,48,64,5
Simisear,Fire,,498,75,98,63,101,5
Panpour,Water,,316,50,53,48,64,5
Simipour,Water,,498,75,98,63,101,5
Munna,Psychic,,292,76,25,45,24,5
Musharna,Psychic,,487,116,55,85,29,5
Pidove,Normal,Flying,264,50,55,50,43,5
Tranquill,Normal,Flying,358,62,77,62,65,5
Unfezant,Normal,Flying,488,80,115,80,93,5
Blitzle,Electric,,295,45,60,32,76,5
Zebstrika,Electric,,497,75,100,63,116,5
Roggenrola,Rock,,280,55,75,85,15,5
Boldore,Rock,,390,70,105,105,20,5
Gigalith,Rock,,515,85,135,130,25,5
Woobat,Psychic,Flying,313,55,45,43,72,5
Swoobat,Psychic,Flying,425,67,57,55,114,5
Drilbur,Ground,,328,60,85,40,68,5
Excadrill,Ground,Steel,508,110,135,60,88,5
Audino,Normal,,445,103,60,86,50,5
AudinoMega Audino,Normal,Fairy,545,103,60,126,50,5
Timburr,Fighting,,305,75,80,55,35,5
Gurdurr,Fighting,,405,85,105,85,40,5
Conkeldurr,Fighting,,505,105,140,95,45,5
Tympole,Water,,294,50,50,40,64,5
Palpitoad,Water,Ground,384,75,65,55,69,5
Seismitoad,Water,Ground,509,105,95,75,74,5
Throh,Fighting,,465,120,100,85,45,5
Sawk,Fighting,,465,75,125,75,85,5
Sewaddle,Bug,Grass,310,45,53,70,42,5
Swadloon,Bug,Grass,380,55,63,90,42,5
Leavanny,Bug,Grass,500,75,103,80,92,5
Venipede,Bug,Poison,260,30,45,59,57,5
Whirlipede,Bug,Poison,360,40,55,99,47,5
Scolipede,Bug,Poison,485,60,100,89,112,5
Cottonee,Grass,Fairy,280,40,27,60,66,5
Whimsicott,Grass,Fairy,480,60,67,85,116,5
Petilil,Grass,,280,45,35,50,30,5
Lilligant,Grass,,480,70,60,75,90,5
Basculin,Water,,460,70,92,65,98,5
Sandile,Ground,Dark,292,50,72,35,65,5
Krokorok,Ground,Dark,351,60,82,45,74,5
Krookodile,Ground,Dark,519,95,117,80,92,5
Darumaka,Fire,,315,70,90,45,50,5
DarmanitanStandard Mode,Fire,,480,105,140,55,95,5
DarmanitanZen Mode,Fire,Psychic,540,105,30,105,55,5
Maractus,Grass,,461,75,86,67,60,5
Dwebble,Bug,Rock,325,50,65,85,55,5
Crustle,Bug,Rock,475,70,95,125,45,5
Scraggy,Dark,Fighting,348,50,75,70,48,5
Scrafty,Dark,Fighting,488,65,90,115,58,5
Sigilyph,Psychic,Flying,490,72,58,80,97,5
Yamask,Ghost,,303,38,30,85,30,5
Cofagrigus,Ghost,,483,58,50,145,30,5
Tirtouga,Water,Rock,355,54,78,103,22,5
Carracosta,Water,Rock,495,74,108,133,32,5
Archen,Rock,Flying,401,55,112,45,70,5
Archeops,Rock,Flying,567,75,140,65,110,5
Trubbish,Poison,,329,50,50,62,65,5
Garbodor,Poison,,474,80,95,82,75,5
Zorua,Dark,,330,40,65,40,65,5
Zoroark,Dark,,510,60,105,60,105,5
Minccino,Normal,,300,55,50,40,75,5
Cinccino,Normal,,470,75,95,60,115,5
Gothita,Psychic,,290,45,30,50,45,5
Gothorita,Psychic,,390,60,45,70,55,5
Gothitelle,Psychic,,490,70,55,95,65,5
Solosis,Psychic,,290,45,30,40,20,5
Duosion,Psychic,,370,65,40,50,30,5
Reuniclus,Psychic,,490,110,65,75,30,5
Ducklett,Water,Flying,305,62,44,50,55,5
Swanna,Water,Flying,473,75,87,63,98,5
Vanillite,Ice,,305,36,50,50,44,5
Vanillish,Ice,,395,51,65,65,59,5
Vanilluxe,Ice,,535,71,95,85,79,5
Deerling,Normal,Grass,335,60,60,50,75,5
Sawsbuck,Normal,Grass,475,80,100,70,95,5
Emolga,Electric,Flying,428,55,75,60,103,5
Karrablast,Bug,,315,50,75,45,60,5
Escavalier,Bug,Steel,495,70,135,105,20,5
Foongus,Grass,Poison,294,69,55,45,15,5
Amoonguss,Grass,Poison,464,114,85,70,30,5
Frillish,Water,Ghost,335,55,40,50,40,5
Jellicent,Water,Ghost,480,100,60,70,60,5
Alomomola,Water,,470,165,75,80,65,5
Joltik,Bug,Electric,319,50,47,50,65,5
Galvantula,Bug,Electric,472,70,77,60,108,5
Ferroseed,Grass,Steel,305,44,50,91,10,5
Ferrothorn,Grass,Steel,489,74,94,131,20,5
Klink,Steel,,300,40,55,70,30,5
Klang,Steel,,440,60,80,95,50,5
Klinklang,Steel,,520,60,100,115,90,5
Tynamo,Electric,,275,35,55,40,60,5
Eelektrik,Electric,,405,65,85,70,40,5
Eelektross,Electric,,515,85,115,80,50,5
Elgyem,Psychic,,335,55,55,55,30,5
Beheeyem,Psychic,,485,75,75,75,40,5
Litwick,Ghost,Fire,275,50,30,55,20,5
Lampent,Ghost,Fire,370,60,40,60,55,5
Chandelure,Ghost,Fire,520,60,55,90,80,5
Axew,Dragon,,320,46,87,60,57,5
Fraxure,Dragon,,410,66,117,70,67,5
Haxorus,Dragon,,540,76,147,90,97,5
Cubchoo,Ice,,305,55,70,40,40,5
Beartic,Ice,,485,95,110,80,50,5
Cryogonal,Ice,,485,70,50,30,105,5
Shelmet,Bug,,305,50,40,85,25,5
Accelgor,Bug,,495,80,70,40,145,5
Stunfisk,Ground,Electric,471,109,66,84,32,5
Mienfoo,Fighting,,350,45,85,50,65,5
Mienshao,Fighting,,510,65,125,60,105,5
Druddigon,Dragon,,485,77,120,90,48,5
Golett,Ground,Ghost,303,59,74,50,35,5
Golurk,Ground,Ghost,483,89,124,80,55,5
Pawniard,Dark,Steel,340,45,85,70,60,5
Bisharp,Dark,Steel,490,65,125,100,70,5
Bouffalant,Normal,,490,95,110,95,55,5
Rufflet,Normal,Flying,350,70,83,50,60,5
Braviary,Normal,Flying,510,100,123,75,80,5
Vullaby,Dark,Flying,370,70,55,75,60,5
Mandibuzz,Dark,Flying,510,110,65,105,80,5
Heatmor,Fire,,484,85,97,66,65,5
Durant,Bug,Steel,484,58,109,112,109,5
Deino,Dark,Dragon,300,52,65,50,38,5
Zweilous,Dark,Dragon,420,72,85,70,58,5
Hydreigon,Dark,Dragon,600,92,105,90,98,5
Larvesta,Bug,Fire,360,55,85,55,60,5
Volcarona,Bug,Fire,550,85,60,65,100,5
Cobalion,Steel,Fighting,580,91,90,129,108,5
Terrakion,Rock,Fighting,580,91,129,90,108,5
Virizion,Grass,Fighting,580,91,90,72,108,5
TornadusIncarnate Forme,Flying,,580,79,115,70,111,5
TornadusTherian Forme,Flying,,580,79,100,80,121,5
ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,111,5
ThundurusTherian Forme,Electric,Flying,580,79,105,70,101,5
Reshiram,Dragon,Fire,680,100,120,100,90,5
Zekrom,Dragon,Electric,680,100,150,120,90,5
LandorusIncarnate Forme,Ground,Flying,600,89,125,90,101,5
LandorusTherian Forme,Ground,Flying,600,89,145,90,91,5
Kyurem,Dragon,Ice,660,125,130,90,95,5
KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,95,5
KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,95,5
KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,108,5
KeldeoResolute Forme,Water,Fighting,580,91,72,90,108,5
MeloettaAria Forme,Normal,Psychic,600,100,77,77,90,5
MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,128,5
Genesect,Bug,Steel,600,71,120,95,99,5
Chespin,Grass,,313,56,61,65,38,6
Quilladin,Grass,,405,61,78,95,57,6
Chesnaught,Grass,Fighting,530,88,107,122,64,6
Fennekin,Fire,,307,40,45,40,60,6
Braixen,Fire,,409,59,59,58,73,6
Delphox,Fire,Psychic,534,75,69,72,104,6
Froakie,Water,,314,41,56,40,71,6
Frogadier,Water,,405,54,63,52,97,6
Greninja,Water,Dark,530,72,95,67,122,6
Bunnelby,Normal,,237,38,36,38,57,6
Diggersby,Normal,Ground,423,85,56,77,78,6
Fletchling,Normal,Flying,278,45,50,43,62,6
Fletchinder,Fire,Flying,382,62,73,55,84,6
Talonflame,Fire,Flying,499,78,81,71,126,6
Scatterbug,Bug,,200,38,35,40,35,6
Spewpa,Bug,,213,45,22,60,29,6
Vivillon,Bug,Flying,411,80,52,50,89,6
Litleo,Fire,Normal,369,62,50,58,72,6
Pyroar,Fire,Normal,507,86,68,72,106,6
Flabébé,Fairy,,303,44,38,39,42,6
Floette,Fairy,,371,54,45,47,52,6
Florges,Fairy,,552,78,65,68,75,6
Skiddo,Grass,,350,66,65,48,52,6
Gogoat,Grass,,531,123,100,62,68,6
Pancham,Fighting,,348,67,82,62,43,6
Pangoro,Fighting,Dark,495,95,124,78,58,6
Furfrou,Normal,,472,75,80,60,102,6
Espurr,Psychic,,355,62,48,54,68,6
MeowsticMale,Psychic,,466,74,48,76,104,6
MeowsticFemale,Psychic,,466,74,48,76,104,6
Honedge,Steel,Ghost,325,45,80,100,28,6
Doublade,Steel,Ghost,448,59,110,150,35,6
AegislashBlade Forme,Steel,Ghost,520,60,150,50,60,6
AegislashShield Forme,Steel,Ghost,520,60,50,150,60,6
Spritzee,Fairy,,341,78,52,60,23,6
Aromatisse,Fairy,,462,101,72,72,29,6
Swirlix,Fairy,,341,62,48,66,49,6
Slurpuff,Fairy,,480,82,80,86,72,6
Inkay,Dark,Psychic,288,53,54,53,45,6
Malamar,Dark,Psychic,482,86,92,88,73,6
Binacle,Rock,Water,306,42,52,67,50,6
Barbaracle,Rock,Water,500,72,105,115,68,6
Skrelp,Poison,Water,320,50,60,60,30,6
Dragalge,Poison,Dragon,494,65,75,90,44,6
Clauncher,Water,,330,50,53,62,44,6
Clawitzer,Water,,500,71,73,88,59,6
Helioptile,Electric,Normal,289,44,38,33,70,6
Heliolisk,Electric,Normal,481,62,55,52,109,6
Tyrunt,Rock,Dragon,362,58,89,77,48,6
Tyrantrum,Rock,Dragon,521,82,121,119,71,6
Amaura,Rock,Ice,362,77,59,50,46,6
Aurorus,Rock,Ice,521,123,77,72,58,6
Sylveon,Fairy,,525,95,65,65,60,6
Hawlucha,Fighting,Flying,500,78,92,75,118,6
Dedenne,Electric,Fairy,431,67,58,57,101,6
Carbink,Rock,Fairy,500,50,50,150,50,6
Goomy,Dragon,,300,45,50,35,40,6
Sliggoo,Dragon,,452,68,75,53,60,6
Goodra,Dragon,,600,90,100,70,80,6
Klefki,Steel,Fairy,470,57,80,91,75,6
Phantump,Ghost,Grass,309,43,70,48,38,6
Trevenant,Ghost,Grass,474,85,110,76,56,6
PumpkabooAverage Size,Ghost,Grass,335,49,66,70,51,6
PumpkabooSmall Size,Ghost,Grass,335,44,66,70,56,6
PumpkabooLarge Size,Ghost,Grass,335,54,66,70,46,6
PumpkabooSuper Size,Ghost,Grass,335,59,66,70,41,6
GourgeistAverage Size,Ghost,Grass,494,65,90,122,84,6
GourgeistSmall Size,Ghost,Grass,494,55,85,122,99,6
GourgeistLarge Size,Ghost,Grass,494,75,95,122,69,6
GourgeistSuper Size,Ghost,Grass,494,85,100,122,54,6
Bergmite,Ice,,304,55,69,85,28,6
Avalugg,Ice,,514,95,117,184,28,6
Noibat,Flying,Dragon,245,40,30,35,55,6
Noivern,Flying,Dragon,535,85,70,80,123,6
Xerneas,Fairy,,680,126,131,95,99,6
Yveltal,Dark,Flying,680,126,131,95,99,6
Zygarde50% Forme,Dragon,Ground,600,108,100,121,95,6
Diancie,Rock,Fairy,600,50,100,150,50,6
DiancieMega Diancie,Rock,Fairy,700,50,160,110,110,6
HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,70,6
HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,80,6
Volcanion,Fire,Water,600,80,110,120,70,6
